FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.000065987,0.000000000,0.001545595
0.176192619,0.000867318,0.000000000,0.002722323
0.227385239,0.000873974,0.000000000,0.002722323
0.278577858,0.000873974,0.000000000,0.002722323
0.329770477,0.000873974,0.000000000,0.002722323
0.380963096,0.000873974,0.000000000,0.002722323
0.432155716,0.000873974,0.000000000,0.002722323
0.483348335,0.000890301,0.000000000,0.002752294
0.534540954,0.001264016,0.000000000,0.003974563
0.585733573,0.001667125,0.000000000,0.004248088
0.636926193,0.001695268,0.000000000,0.004248088
0.688118812,0.001695268,0.000000000,0.004248088
0.739311431,0.001695268,0.000000000,0.004248088
0.790504050,0.001695268,0.000000000,0.004248088
0.841696670,0.001695268,0.000000000,0.004248088
0.892889289,0.001695268,0.000000000,0.004248088
0.944081908,0.001695268,0.000000000,0.004248088
0.995274527,0.001699365,0.000000000,0.004248088
1.046467147,0.001786466,0.000000000,0.004382121
1.097659766,0.002197777,0.000000000,0.005286343
1.148852385,0.002525997,0.000000000,0.005993151
1.200045005,0.002563842,0.000000000,0.005993151
1.251237624,0.002563842,0.000000000,0.005993151
1.302430243,0.002563842,0.000000000,0.005993151
1.353622862,0.002563842,0.000000000,0.005993151
1.404815482,0.002563842,0.000000000,0.005993151
1.456008101,0.002563842,0.000000000,0.005993151
1.507200720,0.002592463,0.000000000,0.005993151
1.558393339,0.002749228,0.000000000,0.006300630
1.609585959,0.003108585,0.000788644,0.006884682
1.660778578,0.003335042,0.000817661,0.007159905
1.711971197,0.003390018,0.000826446,0.007213706
1.763163816,0.003395884,0.000826446,0.007213706
1.814356436,0.003454875,0.000826446,0.007456504
1.865549055,0.003700098,0.000836120,0.007805724
1.916741674,0.004012683,0.000846024,0.008115419
1.967934293,0.004190415,0.000868056,0.008256881
2.019126913,0.004229773,0.000868056,0.008496176
2.070319532,0.004231466,0.000868056,0.008496176
2.121512151,0.004231466,0.000868056,0.008496176
2.172704770,0.004231466,0.000868056,0.008496176
2.223897390,0.004231466,0.000868056,0.008496176
2.275090009,0.004233122,0.000868056,0.008496176
2.326282628,0.004280409,0.000874126,0.008510638
2.377475248,0.004491651,0.000896057,0.008856683
2.428667867,0.004750497,0.001605136,0.009121061
2.479860486,0.004981199,0.001628664,0.009490941
2.531053105,0.005042175,0.001652893,0.009490941
2.582245725,0.005060101,0.001652893,0.009490941
2.633438344,0.005061792,0.001652893,0.009490941
2.684630963,0.005061792,0.001652893,0.009490941
2.735823582,0.005061792,0.001652893,0.009490941
2.787016202,0.005061792,0.001652893,0.009490941
2.838208821,0.005061792,0.001652893,0.009490941
2.889401440,0.005061792,0.001652893,0.009490941
2.940594059,0.005061792,0.001652893,0.009490941
2.991786679,0.005061792,0.001652893,0.009490941
3.042979298,0.005061792,0.001652893,0.009490941
3.094171917,0.005061792,0.001652893,0.009490941
3.145364536,0.005061792,0.001652893,0.009490941
3.196557156,0.005061792,0.001652893,0.009490941
3.247749775,0.005070133,0.001652893,0.009507347
3.298942394,0.005106752,0.001652893,0.009507347
3.350135014,0.005217842,0.001659751,0.009743135
3.401327633,0.005470742,0.001677852,0.010265184
3.452520252,0.005852418,0.001727116,0.011082694
3.503712871,0.006337279,0.001787310,0.011732852
3.554905491,0.006833462,0.002510460,0.012406948
3.606098110,0.007258924,0.002620087,0.012573345
